User,Sight,Session,Start,End,Dur,Time,ErrA,ErrB,Error
3,0,3,11:01:32,11:01:38,00:00:06,6,216.0321754,167.119784,191.5759797
3,0,3,11:01:53,11:01:59,00:00:06,6,100.4296397,73.09627792,86.76295883
3,0,3,11:02:10,11:02:26,00:00:16,16,760.779502,714.1780269,737.4787645
3,0,3,11:02:39,11:02:47,00:00:08,8,276.5131763,206.4846097,241.498893
5,0,1,03:01:03,03:01:12,00:00:09,9,184.5665383,177.375026,180.9707821
5,0,1,03:01:28,03:01:36,00:00:08,8,147.3496219,165.3763162,156.362969
5,0,1,03:01:46,03:01:53,00:00:07,7,205.4702135,214.0575615,209.7638875
5,0,1,03:02:01,03:02:09,00:00:08,8,219.4418971,229.4079589,224.424928
5,0,1,03:02:15,03:02:24,00:00:09,9,159.8414614,168.4452201,164.1433408
5,0,1,03:02:50,03:02:55,00:00:05,5,221.4018461,220.2905392,220.8461927
5,0,4,03:07:22,03:07:39,00:00:17,17,21.49590489,35.90342331,28.6996641
5,0,4,03:08:39,03:08:55,00:00:16,16,190.9325377,195.1552707,193.0439042
5,0,4,03:09:53,03:10:03,00:00:10,10,94.75009445,105.8662592,100.3081768
5,0,4,03:10:18,03:10:28,00:00:10,10,173.4075896,160.7333071,167.0704484
5,0,4,03:10:40,03:10:58,00:00:18,18,82.66162102,111.7716474,97.21663423
5,0,4,03:11:12,03:11:27,00:00:15,15,151.3562326,146.8296665,149.0929495
5,0,4,03:11:58,03:12:13,00:00:15,15,84.11735285,78.67474332,81.39604809
5,0,4,03:12:58,03:13:20,00:00:22,22,227.7577231,208.4771049,218.117414
5,0,4,03:14:06,03:14:17,00:00:11,11,92.54201941,84.89675763,88.71938852
5,0,4,03:14:29,03:14:40,00:00:11,11,202.4799037,175.5529017,189.0164027
5,0,5,03:19:14,03:19:25,00:00:11,11,489.3746513,392.4967032,440.9356773
5,0,5,03:19:34,03:19:40,00:00:06,6,42.64208584,40.14092142,41.39150363
5,0,5,03:19:48,03:19:55,00:00:07,7,214.1092519,207.1174159,210.6133339
5,0,5,03:20:06,03:20:12,00:00:06,6,147.9522854,147.5542267,147.753256
5,0,5,03:20:21,03:20:28,00:00:07,7,218.0602014,206.3411016,212.2006515
5,0,5,03:20:36,03:20:41,00:00:05,5,173.5808811,186.2615842,179.9212326
5,0,2,03:22:10,03:22:17,00:00:07,7,183.6703173,163.663406,173.6668616
5,0,2,03:22:28,03:22:34,00:00:06,6,98.84979767,89.48043524,94.16511645
5,0,2,03:22:44,03:22:50,00:00:06,6,178.864312,167.5252088,173.1947604
5,0,2,03:23:02,03:23:08,00:00:06,6,111.3761394,95.00777133,103.1919554
5,0,2,03:23:17,03:23:22,00:00:05,5,54.43635871,40.24302344,47.33969108
5,0,2,03:23:35,03:23:40,00:00:05,5,180.6664247,171.4948432,176.080634
5,0,2,03:23:51,03:23:56,00:00:05,5,27.53137748,31.02057992,29.2759787
5,0,2,03:24:09,03:24:14,00:00:05,5,78.51099493,79.39208548,78.95154021
5,0,2,03:24:27,03:24:33,00:00:06,6,74.38495043,67.39330121,70.88912582
5,0,2,03:24:54,03:25:01,00:00:07,7,151.5979653,144.3516624,147.9748139
5,0,3,03:28:11,03:28:16,00:00:05,5,280.5948012,273.345269,276.9700351
5,0,3,03:28:25,03:28:31,00:00:06,6,138.7168272,122.2367893,130.4768082
5,0,3,03:28:45,03:28:52,00:00:07,7,135.8839995,128.1137376,131.9988685
5,0,3,03:29:04,03:29:10,00:00:06,6,67.02997455,58.95751545,62.993745
5,0,3,03:29:20,03:29:26,00:00:06,6,279.6028445,279.6849113,279.6438779
5,0,3,03:29:37,03:29:43,00:00:06,6,104.9616356,96.18946346,100.5755495
6,0,1,04:31:26,04:31:35,00:00:09,9,92.41196844,104.0063348,98.2091516
6,0,1,04:31:51,04:32:26,00:00:35,35,1039.134581,786.4881567,912.8113689
6,0,1,04:32:56,04:33:07,00:00:11,11,542.7585995,457.8008202,500.2797099
6,0,1,04:33:25,04:33:36,00:00:11,11,95.76295705,136.9006091,116.3317831
6,0,1,04:33:45,04:33:57,00:00:12,12,148.6208734,74.85699296,111.7389332
6,0,1,04:34:06,04:34:17,00:00:11,11,75.47660287,35.49934382,55.48797334
6,0,4,04:41:06,04:41:37,00:00:31,31,84.93289406,54.21688361,69.57488884
6,0,4,04:44:01,04:44:26,00:00:25,25,61.66926923,79.39644886,70.53285905
6,0,4,04:44:57,04:45:33,00:00:36,36,717.8137088,628.2924438,673.0530763
6,0,4,04:46:35,04:47:25,00:00:50,50,301.8994284,255.5945572,278.7469928
6,0,4,04:48:31,04:49:25,00:00:54,54,43.08124006,36.69110565,39.88617285
6,0,4,04:50:05,04:50:41,00:00:36,36,72.25728357,82.97029029,77.61378693
6,0,4,04:53:18,04:53:44,00:00:26,26,491.5099029,473.2528804,482.3813916
